stage_slug,stage_order,module_slug,module_order,lesson_slug,lesson_order,lesson_title,lesson_subtitle,english,nepali,dhut
foundations,1,foundations-core,1,greetings,1,Greetings,Hello and farewell in Magar Dhut,Hello / Greetings,नमस्ते,Jhorle
foundations,1,foundations-core,1,greetings,1,Greetings,Hello and farewell in Magar Dhut,Respectful greeting,नमस्कार,Namaskaar
foundations,1,foundations-core,1,greetings,1,Greetings,Hello and farewell in Magar Dhut,Thank you,धन्यवाद,Dhanyabad
foundations,1,foundations-core,1,greetings,1,Greetings,Hello and farewell in Magar Dhut,Goodbye,अलविदा,Alvida
foundations,1,foundations-core,1,greetings,1,Greetings,Hello and farewell in Magar Dhut,Yes,हो,Ho
foundations,1,foundations-core,1,greetings,1,Greetings,Hello and farewell in Magar Dhut,No,होइन,Hoina
foundations,1,foundations-core,1,introducing-yourself,2,Introducing Yourself,Say who you are,I / Me,म,Ma
foundations,1,foundations-core,1,introducing-yourself,2,Introducing Yourself,Say who you are,You,तिमी,Timī
foundations,1,foundations-core,1,introducing-yourself,2,Introducing Yourself,Say who you are,Name,नाम,Nāu
foundations,1,foundations-core,1,introducing-yourself,2,Introducing Yourself,Say who you are,My name is …,मेरो नाम … हो,Mero nāu … ho
foundations,1,foundations-core,1,introducing-yourself,2,Introducing Yourself,Say who you are,What is your name?,तिम्रो नाम के हो?,Timro nāu ke ho?
foundations,1,foundations-core,1,introducing-yourself,2,Introducing Yourself,Say who you are,Where are you from?,कहाँ बाट?,Kaha bata?
foundations,1,foundations-core,1,numbers-1-5,3,Numbers 1–5,Count in Magar Dhut,One (1),एक,Ek
foundations,1,foundations-core,1,numbers-1-5,3,Numbers 1–5,Count in Magar Dhut,Two (2),दुई,Du
foundations,1,foundations-core,1,numbers-1-5,3,Numbers 1–5,Count in Magar Dhut,Three (3),तीन,Sum
foundations,1,foundations-core,1,numbers-1-5,3,Numbers 1–5,Count in Magar Dhut,Four (4),चार,Li
foundations,1,foundations-core,1,numbers-1-5,3,Numbers 1–5,Count in Magar Dhut,Five (5),पाँच,Nga
foundations,1,foundations-core,1,numbers-6-10,4,Numbers 6–10,Continue counting,Six (6),छ,Thuk
foundations,1,foundations-core,1,numbers-6-10,4,Numbers 6–10,Continue counting,Seven (7),सात,Saat
foundations,1,foundations-core,1,numbers-6-10,4,Numbers 6–10,Continue counting,Eight (8),आठ,Bret
foundations,1,foundations-core,1,numbers-6-10,4,Numbers 6–10,Continue counting,Nine (9),नौ,No
foundations,1,foundations-core,1,numbers-6-10,4,Numbers 6–10,Continue counting,Ten (10),दस,Gip
foundations,1,foundations-family,2,family-words,1,Family Words,Talk about your family,Mother,आमा,Aama
foundations,1,foundations-family,2,family-words,1,Family Words,Talk about your family,Father,बाबा,Baba
foundations,1,foundations-family,2,family-words,1,Family Words,Talk about your family,Elder brother,दाजु,Daju
foundations,1,foundations-family,2,family-words,1,Family Words,Talk about your family,Elder sister,दिदी,Didi
foundations,1,foundations-family,2,family-words,1,Family Words,Talk about your family,Younger brother,भाइ,Bhai
foundations,1,foundations-family,2,family-words,1,Family Words,Talk about your family,Younger sister,बहिनी,Bahini
foundations,1,foundations-family,2,everyday-words,2,Everyday Words,Words you'll use every day,Water,पानी,Paani
foundations,1,foundations-family,2,everyday-words,2,Everyday Words,Words you'll use every day,Rice / Meal,भात,Bhat
foundations,1,foundations-family,2,everyday-words,2,Everyday Words,Words you'll use every day,Home / House,घर,Ghar
foundations,1,foundations-family,2,everyday-words,2,Everyday Words,Words you'll use every day,Day,दिन,Din
foundations,1,foundations-family,2,everyday-words,2,Everyday Words,Words you'll use every day,Night,रात,Raat
foundations,1,foundations-family,2,everyday-words,2,Everyday Words,Words you'll use every day,Yesterday / Tomorrow,कल,Kal
foundations,1,foundations-script,3,foundations-review,2,Foundations Review,Review everything from Stage 1,Hello,नमस्ते,Jhorle
foundations,1,foundations-script,3,foundations-review,2,Foundations Review,Review everything from Stage 1,I / You,म / तिमी,Ma / Timī
foundations,1,foundations-script,3,foundations-review,2,Foundations Review,Review everything from Stage 1,One through Ten,एक देखि दस,Ek … Gip
foundations,1,foundations-script,3,foundations-review,2,Foundations Review,Review everything from Stage 1,Mother / Father,आमा / बाबा,Aama / Baba
foundations,1,foundations-script,3,foundations-review,2,Foundations Review,Review everything from Stage 1,Rice / Water,भात / पानी,Bhat / Paani
